src,dst,kind,source,detail
RFC791,RFC760,obsoletes,RFC791,rfc-index.xml
RFC792,RFC777,obsoletes,RFC792,rfc-index.xml
RFC793,RFC761,obsoletes,RFC793,rfc-index.xml
RFC820,RFC790,obsoletes,RFC820,rfc-index.xml
RFC821,RFC788,obsoletes,RFC821,rfc-index.xml
RFC822,RFC733,obsoletes,RFC822,rfc-index.xml
RFC854,RFC764,obsoletes,RFC854,rfc-index.xml
RFC905,RFC892,obsoletes,RFC905,rfc-index.xml
RFC930,RFC884,obsoletes,RFC930,rfc-index.xml
RFC959,RFC765,obsoletes,RFC959,rfc-index.xml
RFC988,RFC966,obsoletes,RFC988,rfc-index.xml
RFC990,RFC960,obsoletes,RFC990,rfc-index.xml
RFC994,RFC926,obsoletes,RFC994,rfc-index.xml
RFC998,RFC969,obsoletes,RFC998,rfc-index.xml
RFC1009,RFC985,obsoletes,RFC1009,rfc-index.xml
RFC1010,RFC990,obsoletes,RFC1010,rfc-index.xml
RFC1034,RFC882,obsoletes,RFC1034,rfc-index.xml
RFC1034,RFC883,obsoletes,RFC1034,rfc-index.xml
RFC1034,RFC973,obsoletes,RFC1034,rfc-index.xml
RFC1035,RFC883,obsoletes,RFC1035,rfc-index.xml
RFC1060,RFC1010,obsoletes,RFC1060,rfc-index.xml
RFC1076,RFC1023,obsoletes,RFC1076,rfc-index.xml
RFC1091,RFC930,obsoletes,RFC1091,rfc-index.xml
RFC1098,RFC1067,obsoletes,RFC1098,rfc-index.xml
RFC1112,RFC988,obsoletes,RFC1112,rfc-index.xml
RFC1112,RFC1054,obsoletes,RFC1112,rfc-index.xml
RFC1113,RFC1040,obsoletes,RFC1113,rfc-index.xml
RFC1113,RFC989,obsoletes,RFC1113,rfc-index.xml
RFC1155,RFC1065,obsoletes,RFC1155,rfc-index.xml
RFC1156,RFC1066,obsoletes,RFC1156,rfc-index.xml
RFC1157,RFC1098,obsoletes,RFC1157,rfc-index.xml
RFC1171,RFC1134,obsoletes,RFC1171,rfc-index.xml
RFC1189,RFC1095,obsoletes,RFC1189,rfc-index.xml
RFC1194,RFC742,obsoletes,RFC1194,rfc-index.xml
RFC1196,RFC1194,obsoletes,RFC1196,rfc-index.xml
RFC1200,RFC1140,obsoletes,RFC1200,rfc-index.xml
