id,label,birth_date,defining_rfcs,description,source
PRINTER,PRINTER,1995-03-01,"RFC1759,RFC3805",spooler,RFC Editor (rfc-index.xml)
PT-TLS,PT-TLS,2013-02-01,RFC6876,IETF Network Endpoint Assessment (NEA) Posture Transport Protocol over TLS (PT-TLS),RFC Editor (rfc-index.xml)
QOTD,QOTD,1983-05-01,RFC865,Quote of the Day,RFC Editor (rfc-index.xml)
RAP,RAP,1993-06-01,RFC1476,Route Access Protocol,RFC Editor (rfc-index.xml)
RIFT-LIES,RIFT-LIES,2025-04-01,RFC9692,Routing in Fat Trees Link Information Element,RFC Editor (rfc-index.xml)
RIFT-TIES,RIFT-TIES,2025-04-01,RFC9692,Routing in Fat Trees Topology Information Element,RFC Editor (rfc-index.xml)
RIPNG,RIPNG,1997-01-01,RFC2080,ripng,RFC Editor (rfc-index.xml)
RJE,RJE,1972-06-01,RFC360,Remote Job Entry,RFC Editor (rfc-index.xml)
ROUTER,ROUTER,1994-11-01,"RFC1716,RFC1812",local routing process (on site); uses variant of Xerox NS routing information protocol - RIP,RFC Editor (rfc-index.xml)
RPKI-RTR,RPKI-RTR,2013-01-01,RFC6810,Resource PKI to Router Protocol,RFC Editor (rfc-index.xml)
RPKI-RTR-TLS,RPKI-RTR-TLS,2013-01-01,RFC6810,Resource PKI to Router Protocol over TLS,RFC Editor (rfc-index.xml)
SIFT-UFT,SIFT-UFT,1993-07-01,RFC1440,Sender-Initiated/Unsolicited File Transfer,RFC Editor (rfc-index.xml)
SMTP,SMTP,1994-07-01,"RFC1651,RFC1652,RFC1653,RFC3865,RFC5321",Simple Mail Transfer,RFC Editor (rfc-index.xml)
SNMP,SNMP,1989-04-01,"RFC1098,RFC1161,RFC1228,RFC1283",SNMP,RFC Editor (rfc-index.xml)
SNPP,SNPP,1994-01-01,RFC1568,Simple Network Paging Protocol,RFC Editor (rfc-index.xml)
SOAP-BEEP,SOAP-BEEP,2006-01-01,RFC4227,SOAP over BEEP,RFC Editor (rfc-index.xml)
SQL-NET,SQL-NET,1992-07-01,"RFC1340,RFC1700","Oracle SQL*NET
IANA assigned this well-formed service name as a replacement for ""sql*net"".",RFC Editor (rfc-index.xml)
SSH,SSH,2006-01-01,"RFC4251,RFC9260",The Secure Shell (SSH) Protocol,RFC Editor (rfc-index.xml)
SUBMISSION,SUBMISSION,2011-11-01,RFC6409,Message Submission,RFC Editor (rfc-index.xml)
SUBMISSIONS,SUBMISSIONS,2018-01-01,RFC8314,Message Submission over TLS protocol,RFC Editor (rfc-index.xml)
SUNRPC,SUNRPC,1988-04-01,"RFC1050,RFC1057",SUN Remote Procedure Call,RFC Editor (rfc-index.xml)
SYSLOG,SYSLOG,2009-03-01,RFC5426,,RFC Editor (rfc-index.xml)
