Service Name,Port Number,Transport Protocol,Description,Datatracker title query,Assignee,IANA Reference,IANA RFC numbers (parsed),Datatracker RFC numbers,Datatracker RFC titles,Datatracker hits (JSON)
printer,515,tcp,spooler,spooler,,,,RFC3805; RFC1759,Printer MIB v2 | Printer MIB,"[{""rfc_number"": 3805, ""title"": ""Printer MIB v2"", ""name"": ""rfc3805""}, {""rfc_number"": 1759, ""title"": ""Printer MIB"", ""name"": ""rfc1759""}]"
printer,515,udp,spooler,spooler,,,,RFC3805; RFC1759,Printer MIB v2 | Printer MIB,"[{""rfc_number"": 3805, ""title"": ""Printer MIB v2"", ""name"": ""rfc3805""}, {""rfc_number"": 1759, ""title"": ""Printer MIB"", ""name"": ""rfc1759""}]"
router,520,udp,local routing process (on site); uses variant of Xerox NS routing information protocol - RIP,local routing process (on site); uses variant of Xerox NS routing information protocol - RIP,,,,RFC1812; RFC1716,Requirements for IP Version 4 Routers | Towards Requirements for IP Routers,"[{""rfc_number"": 1812, ""title"": ""Requirements for IP Version 4 Routers"", ""name"": ""rfc1812""}, {""rfc_number"": 1716, ""title"": ""Towards Requirements for IP Routers"", ""name"": ""rfc1716""}]"
ripng,521,tcp,ripng,ripng,[Robert_E_Minnear],,,RFC2080,RIPng for IPv6,"[{""rfc_number"": 2080, ""title"": ""RIPng for IPv6"", ""name"": ""rfc2080""}]"
ripng,521,udp,ripng,ripng,[Robert_E_Minnear],,,RFC2080,RIPng for IPv6,"[{""rfc_number"": 2080, ""title"": ""RIPng for IPv6"", ""name"": ""rfc2080""}]"
dhcpv6-client,546,udp,DHCPv6 Client,DHCPv6 Client,[IESG],[RFC9915],RFC9915,,,[]
dhcpv6-server,547,tcp,DHCPv6 Server,DHCPv6 Server,[IESG],[RFC5460],RFC5460,,,[]
dhcpv6-server,547,udp,DHCPv6 Server,DHCPv6 Server,[IESG],[RFC9915],RFC9915,,,[]
cybercash,551,tcp,cybercash,cybercash,[Donald_E_Eastlake],[RFC1898],RFC1898,,,[]
cybercash,551,udp,cybercash,cybercash,[Donald_E_Eastlake],[RFC1898],RFC1898,,,[]
nntps,563,tcp,nntp protocol over TLS/SSL (was snntp),nntp protocol over TLS/SSL (was snntp),[IESG],[RFC4642],RFC4642,,,[]
nntps,563,udp,nntp protocol over TLS/SSL (was snntp),nntp protocol over TLS/SSL (was snntp),[IESG],[RFC4642],RFC4642,,,[]
vemmi,575,tcp,VEMMI,VEMMI,[Daniel_Mavrakis_2],,,RFC2122,VEMMI URL Specification,"[{""rfc_number"": 2122, ""title"": ""VEMMI URL Specification"", ""name"": ""rfc2122""}]"
vemmi,575,udp,VEMMI,VEMMI,[Daniel_Mavrakis_2],,,RFC2122,VEMMI URL Specification,"[{""rfc_number"": 2122, ""title"": ""VEMMI URL Specification"", ""name"": ""rfc2122""}]"
bdp,581,tcp,Bundle Discovery Protocol,Bundle Discovery Protocol,[Gary_Malkin],,,RFC2701,Nortel Networks Multi-link Multi-node PPP Bundle Discovery Protocol,"[{""rfc_number"": 2701, ""title"": ""Nortel Networks Multi-link Multi-node PPP Bundle Discovery Protocol"", ""name"": ""rfc2701""}]"
bdp,581,udp,Bundle Discovery Protocol,Bundle Discovery Protocol,[Gary_Malkin],,,RFC2701,Nortel Networks Multi-link Multi-node PPP Bundle Discovery Protocol,"[{""rfc_number"": 2701, ""title"": ""Nortel Networks Multi-link Multi-node PPP Bundle Discovery Protocol"", ""name"": ""rfc2701""}]"
submission,587,tcp,Message Submission,Message Submission,,[RFC6409],RFC6409,,,[]
submission,587,udp,Message Submission,Message Submission,,[RFC6409],RFC6409,,,[]
syslog-conn,601,tcp,Reliable Syslog Service,Reliable Syslog Service,,[RFC3195],RFC3195,,,[]
syslog-conn,601,udp,Reliable Syslog Service,Reliable Syslog Service,,[RFC3195],RFC3195,,,[]
xmlrpc-beep,602,tcp,XML-RPC over BEEP,XML-RPC over BEEP,,[RFC3529],RFC3529,,,[]
xmlrpc-beep,602,udp,XML-RPC over BEEP,XML-RPC over BEEP,,[RFC3529],RFC3529,,,[]
idxp,603,tcp,IDXP,IDXP,,[RFC4767],RFC4767,,,[]
idxp,603,udp,IDXP,IDXP,,[RFC4767],RFC4767,,,[]
tunnel,604,tcp,TUNNEL,TUNNEL,,[RFC3620],RFC3620,,,[]
tunnel,604,udp,TUNNEL,TUNNEL,,[RFC3620],RFC3620,,,[]
soap-beep,605,tcp,SOAP over BEEP,SOAP over BEEP,,[RFC4227],RFC4227,,,[]
soap-beep,605,udp,SOAP over BEEP,SOAP over BEEP,,[RFC4227],RFC4227,,,[]
sift-uft,608,tcp,Sender-Initiated/Unsolicited File Transfer,Sender-Initiated/Unsolicited File Transfer,[Rick_Troth],,,RFC1440,SIFT/UFT: Sender-Initiated/Unsolicited File Transfer,"[{""rfc_number"": 1440, ""title"": ""SIFT/UFT: Sender-Initiated/Unsolicited File Transfer"", ""name"": ""rfc1440""}]"
sift-uft,608,udp,Sender-Initiated/Unsolicited File Transfer,Sender-Initiated/Unsolicited File Transfer,[Rick_Troth],,,RFC1440,SIFT/UFT: Sender-Initiated/Unsolicited File Transfer,"[{""rfc_number"": 1440, ""title"": ""SIFT/UFT: Sender-Initiated/Unsolicited File Transfer"", ""name"": ""rfc1440""}]"
ipp,631,tcp,IPP (Internet Printing Protocol),IPP (Internet Printing Protocol),[IESG],[RFC8011],RFC8011,,,[]
ipp,631,udp,IPP (Internet Printing Protocol),IPP (Internet Printing Protocol),[IESG],[RFC8011],RFC8011,,,[]
ipps,631,tcp,Internet Printing Protocol over HTTPS,Internet Printing Protocol over HTTPS,[IESG],[RFC8011],RFC8011,,,[]
msdp,639,tcp,MSDP,MSDP,[Dino_Farinacci],,,RFC3618,Multicast Source Discovery Protocol (MSDP),"[{""rfc_number"": 3618, ""title"": ""Multicast Source Discovery Protocol (MSDP)"", ""name"": ""rfc3618""}]"
msdp,639,udp,MSDP,MSDP,[Dino_Farinacci],,,RFC3618,Multicast Source Discovery Protocol (MSDP),"[{""rfc_number"": 3618, ""title"": ""Multicast Source Discovery Protocol (MSDP)"", ""name"": ""rfc3618""}]"
dhcp-failover,647,tcp,DHCP Failover,DHCP Failover,[IESG],[RFC8156],RFC8156,,,[]
aodv,654,tcp,AODV,AODV,[Charles_Perkins],,,RFC3561,Ad hoc On-Demand Distance Vector (AODV) Routing,"[{""rfc_number"": 3561, ""title"": ""Ad hoc On-Demand Distance Vector (AODV) Routing"", ""name"": ""rfc3561""}]"
aodv,654,udp,AODV,AODV,[Charles_Perkins],,,RFC3561,Ad hoc On-Demand Distance Vector (AODV) Routing,"[{""rfc_number"": 3561, ""title"": ""Ad hoc On-Demand Distance Vector (AODV) Routing"", ""name"": ""rfc3561""}]"
acap,674,tcp,ACAP,ACAP,[Chris_Newman],,,RFC2244,ACAP -- Application Configuration Access Protocol,"[{""rfc_number"": 2244, ""title"": ""ACAP -- Application Configuration Access Protocol"", ""name"": ""rfc2244""}]"
acap,674,udp,ACAP,ACAP,[Chris_Newman],,,RFC2244,ACAP -- Application Configuration Access Protocol,"[{""rfc_number"": 2244, ""title"": ""ACAP -- Application Configuration Access Protocol"", ""name"": ""rfc2244""}]"
olsr,698,tcp,OLSR,OLSR,[Thomas_Clausen],,,RFC3626,Optimized Link State Routing Protocol (OLSR),"[{""rfc_number"": 3626, ""title"": ""Optimized Link State Routing Protocol (OLSR)"", ""name"": ""rfc3626""}]"
olsr,698,udp,OLSR,OLSR,[Thomas_Clausen],,,RFC3626,Optimized Link State Routing Protocol (OLSR),"[{""rfc_number"": 3626, ""title"": ""Optimized Link State Routing Protocol (OLSR)"", ""name"": ""rfc3626""}]"
epp,700,tcp,Extensible Provisioning Protocol,Extensible Provisioning Protocol,,[RFC5734],RFC5734,,,[]
epp,700,udp,Extensible Provisioning Protocol,Extensible Provisioning Protocol,,[RFC5734],RFC5734,,,[]
lmp,701,tcp,Link Management Protocol (LMP),Link Management Protocol (LMP),,[RFC4204],RFC4204,,,[]
lmp,701,udp,Link Management Protocol (LMP),Link Management Protocol (LMP),,[RFC4204],RFC4204,,,[]
iris-beep,702,tcp,IRIS over BEEP,IRIS over BEEP,,[RFC3983],RFC3983,,,[]
iris-beep,702,udp,IRIS over BEEP,IRIS over BEEP,,[RFC3983],RFC3983,,,[]
agentx,705,tcp,AgentX,AgentX,[Bob_Natale],,,RFC2741; RFC2257,Agent Extensibility (AgentX) Protocol Version 1 | Agent Extensibility (AgentX) Protocol Version 1,"[{""rfc_number"": 2741, ""title"": ""Agent Extensibility (AgentX) Protocol Version 1"", ""name"": ""rfc2741""}, {""rfc_number"": 2257, ""title"": ""Agent Extensibility (AgentX) Protocol Version 1"", ""name"": ""rfc2257""}]"
agentx,705,udp,AgentX,AgentX,[Bob_Natale],,,RFC2741; RFC2257,Agent Extensibility (AgentX) Protocol Version 1 | Agent Extensibility (AgentX) Protocol Version 1,"[{""rfc_number"": 2741, ""title"": ""Agent Extensibility (AgentX) Protocol Version 1"", ""name"": ""rfc2741""}, {""rfc_number"": 2257, ""title"": ""Agent Extensibility (AgentX) Protocol Version 1"", ""name"": ""rfc2257""}]"
tbrpf,712,tcp,TBRPF,TBRPF,,[RFC3684],RFC3684,,,[]
tbrpf,712,udp,TBRPF,TBRPF,,[RFC3684],RFC3684,,,[]
iris-xpcs,714,tcp,IRIS over XPCS,IRIS over XPCS,,[RFC4992],RFC4992,,,[]
iris-xpcs,714,udp,IRIS over XPCS,IRIS over XPCS,,[RFC4992],RFC4992,,,[]
iris-lwz,715,tcp,IRIS-LWZ,IRIS-LWZ,,[RFC4993],RFC4993,,,[]
iris-lwz,715,udp,IRIS-LWZ,IRIS-LWZ,,[RFC4993],RFC4993,,,[]
pana,716,udp,PANA Messages,PANA Messages,,[RFC5191],RFC5191,,,[]
acmaint-dbd,774,udp,"IANA assigned this well-formed service name as a replacement for ""acmaint_dbd"".","IANA assigned this well-formed service name as a replacement for ""acmaint_dbd"".",,,,RFC1700; RFC1340; RFC1060,Assigned Numbers | Assigned Numbers | Assigned numbers,"[{""rfc_number"": 1700, ""title"": ""Assigned Numbers"", ""name"": ""rfc1700""}, {""rfc_number"": 1340, ""title"": ""Assigned Numbers"", ""name"": ""rfc1340""}, {""rfc_number"": 1060, ""title"": ""Assigned numbers"", ""name"": ""rfc1060""}]"
acmaint-transd,775,udp,"IANA assigned this well-formed service name as a replacement for ""acmaint_transd"".","IANA assigned this well-formed service name as a replacement for ""acmaint_transd"".",,,,RFC1700; RFC1340; RFC1060,Assigned Numbers | Assigned Numbers | Assigned numbers,"[{""rfc_number"": 1700, ""title"": ""Assigned Numbers"", ""name"": ""rfc1700""}, {""rfc_number"": 1340, ""title"": ""Assigned Numbers"", ""name"": ""rfc1340""}, {""rfc_number"": 1060, ""title"": ""Assigned numbers"", ""name"": ""rfc1060""}]"
mdbs-daemon,800,tcp,"IANA assigned this well-formed service name as a replacement for ""mdbs_daemon"".","IANA assigned this well-formed service name as a replacement for ""mdbs_daemon"".",,,,RFC1700; RFC1340; RFC1060,Assigned Numbers | Assigned Numbers | Assigned numbers,"[{""rfc_number"": 1700, ""title"": ""Assigned Numbers"", ""name"": ""rfc1700""}, {""rfc_number"": 1340, ""title"": ""Assigned Numbers"", ""name"": ""rfc1340""}, {""rfc_number"": 1060, ""title"": ""Assigned numbers"", ""name"": ""rfc1060""}]"
mdbs-daemon,800,udp,"IANA assigned this well-formed service name as a replacement for ""mdbs_daemon"".","IANA assigned this well-formed service name as a replacement for ""mdbs_daemon"".",,,,RFC1700; RFC1340; RFC1060,Assigned Numbers | Assigned Numbers | Assigned numbers,"[{""rfc_number"": 1700, ""title"": ""Assigned Numbers"", ""name"": ""rfc1700""}, {""rfc_number"": 1340, ""title"": ""Assigned Numbers"", ""name"": ""rfc1340""}, {""rfc_number"": 1060, ""title"": ""Assigned numbers"", ""name"": ""rfc1060""}]"
netconf-ssh,830,tcp,NETCONF over SSH,NETCONF over SSH,,[RFC6242],RFC6242,,,[]
netconf-ssh,830,udp,NETCONF over SSH,NETCONF over SSH,,[RFC6242],RFC6242,,,[]
gdoi,848,tcp,GDOI,GDOI,,[RFC3547],RFC3547,,,[]
gdoi,848,udp,GDOI,GDOI,,[RFC3547],RFC3547,,,[]
domain-s,853,tcp,DNS query-response protocol run over TLS,DNS query-response protocol run over DTLS or QUIC,[IESG],[RFC7858],RFC7858,,,[]
domain-s,853,udp,DNS query-response protocol run over DTLS or QUIC,DNS query-response protocol run over DTLS or QUIC,[IESG],[RFC7858][RFC8094][RFC9250],RFC7858 RFC8094 RFC9250,,,[]
dlep,854,tcp,Dynamic Link Exchange Protocol (DLEP),Dynamic Link Exchange Protocol (DLEP),[IESG],[RFC8175],RFC8175,,,[]
dlep,854,udp,Dynamic Link Exchange Protocol (DLEP),Dynamic Link Exchange Protocol (DLEP),[IESG],[RFC8175],RFC8175,,,[]
iscsi,860,tcp,iSCSI,iSCSI,[IESG],[RFC7143],RFC7143,,,[]
iscsi,860,udp,iSCSI,iSCSI,[IESG],[RFC7143],RFC7143,,,[]
owamp-control,861,tcp,OWAMP-Control,OWAMP-Control,[IESG],[RFC4656],RFC4656,,,[]
owamp-test,861,udp,OWAMP-Test,OWAMP-Test,[IESG],[RFC8545],RFC8545,,,[]
twamp-control,862,tcp,TWAMP-Control,TWAMP-Control,[IESG],[RFC5357],RFC5357,,,[]
twamp-test,862,udp,TWAMP-Test Receiver Port,TWAMP-Test Receiver Port,[IESG],[RFC8545],RFC8545,,,[]
kink,910,tcp,Kerberized Internet Negotiation of Keys (KINK),Kerberized Internet Negotiation of Keys (KINK),,[RFC4430],RFC4430,,,[]
kink,910,udp,Kerberized Internet Negotiation of Keys (KINK),Kerberized Internet Negotiation of Keys (KINK),,[RFC4430],RFC4430,,,[]
apex-edge,913,tcp,APEX endpoint-relay service,APEX endpoint-relay service,,[RFC3340],RFC3340,,,[]
apex-edge,913,udp,APEX endpoint-relay service,APEX endpoint-relay service,,[RFC3340],RFC3340,,,[]
rift-lies,914,udp,Routing in Fat Trees Link Information Element,Routing in Fat Trees Link Information Element,[IESG],[RFC9692],RFC9692,,,[]
rift-ties,915,udp,Routing in Fat Trees Topology Information Element,Routing in Fat Trees Topology Information Element,[IESG],[RFC9692],RFC9692,,,[]
nas,991,tcp,Netnews Administration System,Netnews Administration System,[Vera_Heinau][Heiko_Schlichting],[RFC4707],RFC4707,,,[]
nas,991,udp,Netnews Administration System,Netnews Administration System,[Vera_Heinau][Heiko_Schlichting],[RFC4707],RFC4707,,,[]
imaps,993,tcp,IMAP over TLS protocol,IMAP over TLS protocol,[IESG],[RFC3501][RFC8314][RFC9051],RFC3501 RFC8314 RFC9051,,,[]
IANA-UNNAMED-UDP-993-E79C333E,993,udp,Reserved,,,[RFC9051],RFC9051,,,[]
pop3s,995,tcp,POP3 over TLS protocol,pop3 protocol over TLS/SSL (was spop3),[IESG],[RFC8314],RFC8314,,,[]
webpush,1001,tcp,HTTP Web Push,HTTP Web Push,[IESG],[RFC8030],RFC8030,,,[]
exp1,1021,tcp,RFC3692-style Experiment 1,RFC3692-style Experiment 1,[IESG],[1][RFC4727][RFC6335],RFC4727 RFC6335,,,[]
exp1,1021,udp,RFC3692-style Experiment 1,RFC3692-style Experiment 1,[IESG],[1][RFC4727][RFC6335],RFC4727 RFC6335,,,[]
exp1,1021,sctp,RFC3692-style Experiment 1,RFC3692-style Experiment 1,[IESG],[1][RFC4727][RFC6335],RFC4727 RFC6335,,,[]
exp1,1021,dccp,RFC3692-style Experiment 1,RFC3692-style Experiment 1,[IESG],[1][RFC4727][RFC6335],RFC4727 RFC6335,,,[]
exp2,1022,tcp,RFC3692-style Experiment 2,RFC3692-style Experiment 2,[IESG],[1][RFC4727][RFC6335],RFC4727 RFC6335,,,[]
exp2,1022,udp,RFC3692-style Experiment 2,RFC3692-style Experiment 2,[IESG],[1][RFC4727][RFC6335],RFC4727 RFC6335,,,[]
exp2,1022,sctp,RFC3692-style Experiment 2,RFC3692-style Experiment 2,[IESG],[1][RFC4727][RFC6335],RFC4727 RFC6335,,,[]
exp2,1022,dccp,RFC3692-style Experiment 2,RFC3692-style Experiment 2,[IESG],[1][RFC4727][RFC6335],RFC4727 RFC6335,,,[]
IANA-UNNAMED-TCP-1023-B15027B5,1023,tcp,Reserved,,,[RFC6335],RFC6335,,,[]
IANA-UNNAMED-UDP-1023-18462DB1,1023,udp,Reserved,,,[RFC6335],RFC6335,,,[]
