Service Name,Port Number,Transport Protocol,Description,Datatracker title query,Assignee,IANA Reference,IANA RFC numbers (parsed),Datatracker RFC numbers,Datatracker RFC titles,Datatracker hits (JSON)
dixie,96,tcp,DIXIE Protocol Specification,DIXIE Protocol Specification,[Tim_Howes],,,RFC1249,DIXIE Protocol Specification,"[{""rfc_number"": 1249, ""title"": ""DIXIE Protocol Specification"", ""name"": ""rfc1249""}]"
dixie,96,udp,DIXIE Protocol Specification,DIXIE Protocol Specification,[Tim_Howes],,,RFC1249,DIXIE Protocol Specification,"[{""rfc_number"": 1249, ""title"": ""DIXIE Protocol Specification"", ""name"": ""rfc1249""}]"
iso-tsap,102,tcp,ISO-TSAP Class 0,ISO-TSAP Class 0,[Marshall_Rose],,,RFC1859,ISO Transport Class 2 Non-use of Explicit Flow Control over TCP RFC1006 extension,"[{""rfc_number"": 1859, ""title"": ""ISO Transport Class 2 Non-use of Explicit Flow Control over TCP RFC1006 extension"", ""name"": ""rfc1859""}]"
iso-tsap,102,udp,ISO-TSAP Class 0,ISO-TSAP Class 0,[Marshall_Rose],,,RFC1859,ISO Transport Class 2 Non-use of Explicit Flow Control over TCP RFC1006 extension,"[{""rfc_number"": 1859, ""title"": ""ISO Transport Class 2 Non-use of Explicit Flow Control over TCP RFC1006 extension"", ""name"": ""rfc1859""}]"
cso,105,tcp,CCSO name server protocol,CCSO name server protocol,[Martin_Hamilton],,,RFC2378,The CCSO Nameserver (Ph) Architecture,"[{""rfc_number"": 2378, ""title"": ""The CCSO Nameserver (Ph) Architecture"", ""name"": ""rfc2378""}]"
cso,105,udp,CCSO name server protocol,CCSO name server protocol,[Martin_Hamilton],,,RFC2378,The CCSO Nameserver (Ph) Architecture,"[{""rfc_number"": 2378, ""title"": ""The CCSO Nameserver (Ph) Architecture"", ""name"": ""rfc2378""}]"
pop2,109,tcp,Post Office Protocol - Version 2,Post Office Protocol - Version 2,[Joyce_K_Reynolds],,,RFC937,Post Office Protocol: Version 2,"[{""rfc_number"": 937, ""title"": ""Post Office Protocol: Version 2"", ""name"": ""rfc937""}]"
pop2,109,udp,Post Office Protocol - Version 2,Post Office Protocol - Version 2,[Joyce_K_Reynolds],,,RFC937,Post Office Protocol: Version 2,"[{""rfc_number"": 937, ""title"": ""Post Office Protocol: Version 2"", ""name"": ""rfc937""}]"
pop3,110,tcp,Post Office Protocol - Version 3,Post Office Protocol - Version 3,[Marshall_Rose],,,RFC1939; RFC1725; RFC1460,Post Office Protocol - Version 3 | Post Office Protocol - Version 3 | Post Office Protocol - Version 3,"[{""rfc_number"": 1939, ""title"": ""Post Office Protocol - Version 3"", ""name"": ""rfc1939""}, {""rfc_number"": 1725, ""title"": ""Post Office Protocol - Version 3"", ""name"": ""rfc1725""}, {""rfc_number"": 1460, ""title"": ""Post Office Protocol - Version 3"", ""name"": ""rfc1460""}]"
pop3,110,udp,Post Office Protocol - Version 3,Post Office Protocol - Version 3,[Marshall_Rose],,,RFC1939; RFC1725; RFC1460,Post Office Protocol - Version 3 | Post Office Protocol - Version 3 | Post Office Protocol - Version 3,"[{""rfc_number"": 1939, ""title"": ""Post Office Protocol - Version 3"", ""name"": ""rfc1939""}, {""rfc_number"": 1725, ""title"": ""Post Office Protocol - Version 3"", ""name"": ""rfc1725""}, {""rfc_number"": 1460, ""title"": ""Post Office Protocol - Version 3"", ""name"": ""rfc1460""}]"
sunrpc,111,tcp,SUN Remote Procedure Call,SUN Remote Procedure Call,[Chuck_McManis],,,RFC1057; RFC1050,RPC: Remote Procedure Call Protocol specification: Version 2 | RPC: Remote Procedure Call Protocol specification,"[{""rfc_number"": 1057, ""title"": ""RPC: Remote Procedure Call Protocol specification: Version 2"", ""name"": ""rfc1057""}, {""rfc_number"": 1050, ""title"": ""RPC: Remote Procedure Call Protocol specification"", ""name"": ""rfc1050""}]"
sunrpc,111,udp,SUN Remote Procedure Call,SUN Remote Procedure Call,[Chuck_McManis],,,RFC1057; RFC1050,RPC: Remote Procedure Call Protocol specification: Version 2 | RPC: Remote Procedure Call Protocol specification,"[{""rfc_number"": 1057, ""title"": ""RPC: Remote Procedure Call Protocol specification: Version 2"", ""name"": ""rfc1057""}, {""rfc_number"": 1050, ""title"": ""RPC: Remote Procedure Call Protocol specification"", ""name"": ""rfc1050""}]"
ident,113,tcp,,ident,,,,RFC1413,Identification Protocol,"[{""rfc_number"": 1413, ""title"": ""Identification Protocol"", ""name"": ""rfc1413""}]"
nntp,119,tcp,Network News Transfer Protocol,Network News Transfer Protocol,[IESG],[RFC3977],RFC3977,,,[]
nntp,119,udp,Network News Transfer Protocol,Network News Transfer Protocol,[IESG],[RFC3977],RFC3977,,,[]
ntp,123,tcp,Network Time Protocol,Network Time Protocol,[Dave_Mills],[RFC5905],RFC5905,,,[]
ntp,123,udp,Network Time Protocol,Network Time Protocol,[Dave_Mills],[RFC5905],RFC5905,,,[]
imap,143,tcp,Internet Message Access Protocol,Internet Message Access Protocol,[IESG],[RFC3501][RFC9051],RFC3501 RFC9051,,,[]
IANA-UNNAMED-UDP-143-3E2E5D4F,143,udp,Reserved,,,[RFC9051],RFC9051,,,[]
iso-tp0,146,tcp,ISO-IP0,ISO-IP0,,,,RFC1086,ISO-TP0 bridge between TCP and X.25,"[{""rfc_number"": 1086, ""title"": ""ISO-TP0 bridge between TCP and X.25"", ""name"": ""rfc1086""}]"
iso-tp0,146,udp,ISO-IP0,ISO-IP0,,,,RFC1086,ISO-TP0 bridge between TCP and X.25,"[{""rfc_number"": 1086, ""title"": ""ISO-TP0 bridge between TCP and X.25"", ""name"": ""rfc1086""}]"
sql-net,150,tcp,SQL-NET,"Oracle SQL*NET IANA assigned this well-formed service name as a replacement for ""sql*net"".",[Martin_Picard],,,RFC1700; RFC1340,Assigned Numbers | Assigned Numbers,"[{""rfc_number"": 1700, ""title"": ""Assigned Numbers"", ""name"": ""rfc1700""}, {""rfc_number"": 1340, ""title"": ""Assigned Numbers"", ""name"": ""rfc1340""}]"
sql-net,150,udp,SQL-NET,"Oracle SQL*NET IANA assigned this well-formed service name as a replacement for ""sql*net"".",[Martin_Picard],,,RFC1700; RFC1340,Assigned Numbers | Assigned Numbers,"[{""rfc_number"": 1700, ""title"": ""Assigned Numbers"", ""name"": ""rfc1700""}, {""rfc_number"": 1340, ""title"": ""Assigned Numbers"", ""name"": ""rfc1340""}]"
bftp,152,tcp,Background File Transfer Program,Background File Transfer Program,[Annette_DeSchon],,,RFC1068,Background File Transfer Program (BFTP),"[{""rfc_number"": 1068, ""title"": ""Background File Transfer Program (BFTP)"", ""name"": ""rfc1068""}]"
bftp,152,udp,Background File Transfer Program,Background File Transfer Program,[Annette_DeSchon],,,RFC1068,Background File Transfer Program (BFTP),"[{""rfc_number"": 1068, ""title"": ""Background File Transfer Program (BFTP)"", ""name"": ""rfc1068""}]"
snmp,161,tcp,SNMP,SNMP,,,,RFC1283; RFC1228; RFC1161; RFC1098,SNMP over OSI | SNMP-DPI: Simple Network Management Protocol Distributed Program Interface | SNMP over OSI | Simple Network Management Protocol (SNMP),"[{""rfc_number"": 1283, ""title"": ""SNMP over OSI"", ""name"": ""rfc1283""}, {""rfc_number"": 1228, ""title"": ""SNMP-DPI: Simple Network Management Protocol Distributed Program Interface"", ""name"": ""rfc1228""}, {""rfc_number"": 1161, ""title"": ""SNMP over OSI"", ""name"": ""rfc1161""}, {""rfc_number"": 1098, ""title"": ""Simple Network Management Protocol (SNMP)"", ""name"": ""rfc1098""}]"
snmp,161,udp,SNMP,SNMP,,,,RFC1283; RFC1228; RFC1161; RFC1098,SNMP over OSI | SNMP-DPI: Simple Network Management Protocol Distributed Program Interface | SNMP over OSI | Simple Network Management Protocol (SNMP),"[{""rfc_number"": 1283, ""title"": ""SNMP over OSI"", ""name"": ""rfc1283""}, {""rfc_number"": 1228, ""title"": ""SNMP-DPI: Simple Network Management Protocol Distributed Program Interface"", ""name"": ""rfc1228""}, {""rfc_number"": 1161, ""title"": ""SNMP over OSI"", ""name"": ""rfc1161""}, {""rfc_number"": 1098, ""title"": ""Simple Network Management Protocol (SNMP)"", ""name"": ""rfc1098""}]"
bgp,179,sctp,BGP,Border Gateway Protocol,[Randall_Stewart],[RFC9260],RFC9260,,,[]
z39.50,210,tcp,ANSI Z39.50,ANSI Z39.50,[Mark_H_Needleman],,,RFC1729,Using the Z39.50 Information Retrieval Protocol,"[{""rfc_number"": 1729, ""title"": ""Using the Z39.50 Information Retrieval Protocol"", ""name"": ""rfc1729""}]"
z39.50,210,udp,ANSI Z39.50,ANSI Z39.50,[Mark_H_Needleman],,,RFC1729,Using the Z39.50 Information Retrieval Protocol,"[{""rfc_number"": 1729, ""title"": ""Using the Z39.50 Information Retrieval Protocol"", ""name"": ""rfc1729""}]"
mpp,218,tcp,Netix Message Posting Protocol,Netix Message Posting Protocol,[Shannon_Yeh],,,RFC1204,Message Posting Protocol (MPP),"[{""rfc_number"": 1204, ""title"": ""Message Posting Protocol (MPP)"", ""name"": ""rfc1204""}]"
mpp,218,udp,Netix Message Posting Protocol,Netix Message Posting Protocol,[Shannon_Yeh],,,RFC1204,Message Posting Protocol (MPP),"[{""rfc_number"": 1204, ""title"": ""Message Posting Protocol (MPP)"", ""name"": ""rfc1204""}]"
esro-gen,259,tcp,Efficient Short Remote Operations,Efficient Short Remote Operations,[Mohsen_Banan],,,RFC2188,AT&T/Neda's Efficient Short Remote Operations (ESRO) Protocol Specification Version 1.2,"[{""rfc_number"": 2188, ""title"": ""AT&T/Neda's Efficient Short Remote Operations (ESRO) Protocol Specification Version 1.2"", ""name"": ""rfc2188""}]"
esro-gen,259,udp,Efficient Short Remote Operations,Efficient Short Remote Operations,[Mohsen_Banan],,,RFC2188,AT&T/Neda's Efficient Short Remote Operations (ESRO) Protocol Specification Version 1.2,"[{""rfc_number"": 2188, ""title"": ""AT&T/Neda's Efficient Short Remote Operations (ESRO) Protocol Specification Version 1.2"", ""name"": ""rfc2188""}]"
bgmp,264,tcp,BGMP,BGMP,[Dave_Thaler],,,RFC3913,Border Gateway Multicast Protocol (BGMP): Protocol Specification,"[{""rfc_number"": 3913, ""title"": ""Border Gateway Multicast Protocol (BGMP): Protocol Specification"", ""name"": ""rfc3913""}]"
bgmp,264,udp,BGMP,BGMP,[Dave_Thaler],,,RFC3913,Border Gateway Multicast Protocol (BGMP): Protocol Specification,"[{""rfc_number"": 3913, ""title"": ""Border Gateway Multicast Protocol (BGMP): Protocol Specification"", ""name"": ""rfc3913""}]"
manet,269,tcp,MANET Protocols,MANET Protocols,,[RFC5498],RFC5498,,,[]
manet,269,udp,MANET Protocols,MANET Protocols,,[RFC5498],RFC5498,,,[]
gist,270,udp,Q-mode encapsulation for GIST messages,Q-mode encapsulation for GIST messages,,[RFC5971],RFC5971,,,[]
pt-tls,271,tcp,IETF Network Endpoint Assessment (NEA) Posture Transport Protocol over TLS (PT-TLS),IETF Network Endpoint Assessment (NEA) Posture Transport Protocol over TLS (PT-TLS),[IESG],[RFC6876],RFC6876,,,[]
tacacss,300,tcp,TLS Secure Login Host Protocol (TACACSS),TLS Secure Login Host Protocol (TACACSS),[IESG],[RFC9887],RFC9887,,,[]
rpki-rtr,323,tcp,Resource PKI to Router Protocol,Resource PKI to Router Protocol,[IESG],[RFC6810],RFC6810,,,[]
rpki-rtr-tls,324,tcp,Resource PKI to Router Protocol over TLS,Resource PKI to Router Protocol over TLS,[IESG],[RFC6810],RFC6810,,,[]
matip-type-a,350,tcp,MATIP Type A,MATIP Type A,[Alain_Robert],[RFC2351],RFC2351,,,[]
matip-type-a,350,udp,MATIP Type A,MATIP Type A,[Alain_Robert],[RFC2351],RFC2351,,,[]
matip-type-b,351,tcp,MATIP Type B,MATIP Type B,[Alain_Robert],[RFC2351],RFC2351,,,[]
matip-type-b,351,udp,MATIP Type B,MATIP Type B,[Alain_Robert],[RFC2351],RFC2351,,,[]
odmr,366,tcp,ODMR,ODMR,[Randall_Gellens],,,RFC2645,ON-DEMAND MAIL RELAY (ODMR) SMTP with Dynamic IP Addresses,"[{""rfc_number"": 2645, ""title"": ""ON-DEMAND MAIL RELAY (ODMR) SMTP with Dynamic IP Addresses"", ""name"": ""rfc2645""}]"
odmr,366,udp,ODMR,ODMR,[Randall_Gellens],,,RFC2645,ON-DEMAND MAIL RELAY (ODMR) SMTP with Dynamic IP Addresses,"[{""rfc_number"": 2645, ""title"": ""ON-DEMAND MAIL RELAY (ODMR) SMTP with Dynamic IP Addresses"", ""name"": ""rfc2645""}]"
aurp,387,tcp,Appletalk Update-Based Routing Pro.,Appletalk Update-Based Routing Pro.,[Chris_Ranch],,,RFC1504,Appletalk Update-Based Routing Protocol: Enhanced Appletalk Routing,"[{""rfc_number"": 1504, ""title"": ""Appletalk Update-Based Routing Protocol: Enhanced Appletalk Routing"", ""name"": ""rfc1504""}]"
aurp,387,udp,Appletalk Update-Based Routing Pro.,Appletalk Update-Based Routing Pro.,[Chris_Ranch],,,RFC1504,Appletalk Update-Based Routing Protocol: Enhanced Appletalk Routing,"[{""rfc_number"": 1504, ""title"": ""Appletalk Update-Based Routing Protocol: Enhanced Appletalk Routing"", ""name"": ""rfc1504""}]"
ldap,389,tcp,Lightweight Directory Access Protocol,Lightweight Directory Access Protocol,[Tim_Howes],,,RFC2255; RFC1959,The LDAP URL Format | An LDAP URL Format,"[{""rfc_number"": 2255, ""title"": ""The LDAP URL Format"", ""name"": ""rfc2255""}, {""rfc_number"": 1959, ""title"": ""An LDAP URL Format"", ""name"": ""rfc1959""}]"
ldap,389,udp,Lightweight Directory Access Protocol,Lightweight Directory Access Protocol,[Tim_Howes],,,RFC2255; RFC1959,The LDAP URL Format | An LDAP URL Format,"[{""rfc_number"": 2255, ""title"": ""The LDAP URL Format"", ""name"": ""rfc2255""}, {""rfc_number"": 1959, ""title"": ""An LDAP URL Format"", ""name"": ""rfc1959""}]"
iso-tsap-c2,399,tcp,ISO Transport Class 2 Non-Control over TCP,ISO Transport Class 2 Non-Control over UDP,[Yanick_Pouffary],,,RFC1859,ISO Transport Class 2 Non-use of Explicit Flow Control over TCP RFC1006 extension,"[{""rfc_number"": 1859, ""title"": ""ISO Transport Class 2 Non-use of Explicit Flow Control over TCP RFC1006 extension"", ""name"": ""rfc1859""}]"
